Original Name,User-Friendly Name
seed_a_holding_from_holding_tokens,Seed A Holding From Holding Tokens
seed_a_actions,Seed A Actions
seed_a_current_action,Seed A Current Action
presale_1_agents,Presale 1 Agents
presale_1_a_name,Presale 1 A Name
presale_1_a_type,Presale 1 A Type
presale_1_a_usd_funds,Presale 1 A Usd Funds
presale_1_a_tokens,Presale 1 A Tokens
presale_1_a_tokens_vested,Presale 1 A Tokens Vested
presale_1_a_tokens_vested_cum,Presale 1 A Tokens Vested Cum
presale_1_a_tokens_airdropped,Presale 1 A Tokens Airdropped
presale_1_a_tokens_airdropped_cum,Presale 1 A Tokens Airdropped Cum
presale_1_a_tokens_incentivised,Presale 1 A Tokens Incentivised
presale_1_a_tokens_incentivised_cum,Presale 1 A Tokens Incentivised Cum
presale_1_a_tokens_apr_locked,Presale 1 A Tokens Apr Locked
presale_1_a_tokens_apr_locked_cum,Presale 1 A Tokens Apr Locked Cum
presale_1_a_tokens_apr_locked_remove,Presale 1 A Tokens Apr Locked Remove
presale_1_a_tokens_apr_locked_rewards,Presale 1 A Tokens Apr Locked Rewards
presale_1_a_tokens_buyback_locked,Presale 1 A Tokens Buyback Locked
presale_1_a_tokens_buyback_locked_cum,Presale 1 A Tokens Buyback Locked Cum
presale_1_a_tokens_buyback_locked_remove,Presale 1 A Tokens Buyback Locked Remove
presale_1_a_tokens_buyback_locked_rewards,Presale 1 A Tokens Buyback Locked Rewards
presale_1_a_tokens_staking_vesting_locked,Presale 1 A Tokens Staking Vesting Locked
presale_1_a_tokens_staking_vesting_locked_cum,Presale 1 A Tokens Staking Vesting Locked Cum
presale_1_a_tokens_staking_vesting_locked_remove,Presale 1 A Tokens Staking Vesting Locked Remove
presale_1_a_tokens_staking_vesting_locked_rewards,Presale 1 A Tokens Staking Vesting Locked Rewards
presale_1_a_tokens_liquidity_mining,Presale 1 A Tokens Liquidity Mining
presale_1_a_tokens_liquidity_mining_cum,Presale 1 A Tokens Liquidity Mining Cum
presale_1_a_tokens_liquidity_mining_remove,Presale 1 A Tokens Liquidity Mining Remove
